id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2506557532,https://www.vivareal.com.br/imovel/apartamento-1-quartos-botafogo-bairros-campinas-com-garagem-47m2-venda-RS400000-id-2506557532/,Apartamento com Quarto para Venda/Aluguel 47m²,"Botafogo, Campinas - SP",47,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Mobiliado
Churrasqueira
Elevador
Varanda
...","R$ 2.000 /mês
R$ 400.000",R$ 476,Campinas,2022-05-11 22:33
2556731461,https://www.vivareal.com.br/imovel/apartamento-2-quartos-botafogo-bairros-campinas-com-garagem-65m2-aluguel-RS1500-id-2556731461/,"Apartamento com 2 Quartos para Aluguel, 65m²","Travessa Otávio Mendes, 167 - Botafogo, Campinas - SP",65,2 Quartos,2 Banheiros,1 Vaga,,R$ 1.500 /mês,R$ 300,Campinas,2022-05-11 22:33
2561857890,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cambui-bairros-campinas-com-garagem-107m2-aluguel-RS4600-id-2561857890/,"Apartamento com 3 Quartos para Aluguel, 107m²","Rua Santo Antônio, 338 - Cambuí, Campinas - SP",107,3 Quartos,4 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 4.600 /mês,R$ 1.360,Campinas,2022-05-11 22:33
2559397686,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cambui-bairros-campinas-com-garagem-36m2-venda-RS580000-id-2559397686/,Apartamento com Quarto para Venda/Aluguel 36m²,"Rua Alecrins, 745 - Cambuí, Campinas - SP",36,1 Quarto,1 Banheiro,1 Vaga,"Piscina para adulto
Varanda
Mobiliado
Lavanderia
Piscina","R$ 3.100 /mês
R$ 580.000",R$ 690,Campinas,2022-05-11 22:33
2558367882,https://www.vivareal.com.br/imovel/apartamento-1-quartos-taquaral-bairros-campinas-36m2-venda-RS120000-id-2558367882/,Apartamento com Quarto para Venda/Aluguel 36m²,"Taquaral, Campinas - SP",36,1 Quarto,1 Banheiro,-- Vaga,"Elevador
Interfone","R$ 550 /mês
R$ 120.000",R$ 380,Campinas,2022-05-11 22:33
2555919047,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-paraiso-bairros-campinas-com-garagem-90m2-aluguel-RS1600-id-2555919047/,"Apartamento com 2 Quartos para Aluguel, 90m²","Jardim Paraíso, Campinas - SP",90,2 Quartos,3 Banheiros,1 Vaga,"Piscina
Elevador
Academia
Garagem
Playground
...",R$ 1.600 /mês,R$ 800,Campinas,2022-05-11 22:33
2555064478,https://www.vivareal.com.br/imovel/apartamento-2-quartos-mansoes-santo-antonio-bairros-campinas-com-garagem-73m2-aluguel-RS5003-id-2555064478/,"Apartamento com 2 Quartos para Aluguel, 73m²","Rua Luiz Otávio, 2245 - Mansões Santo Antônio, Campinas - SP",73,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",R$ 5.003 /mês,R$ 665,Campinas,2022-05-11 22:33
2560640450,https://www.vivareal.com.br/imovel/apartamento-1-quartos-botafogo-bairros-campinas-com-garagem-59m2-aluguel-RS1400-id-2560640450/,"Apartamento com Quarto para Aluguel, 59m²","Botafogo, Campinas - SP",59,1 Quarto,2 Banheiros,1 Vaga,,R$ 1.400 /mês,R$ 585,Campinas,2022-05-11 22:33
2560167395,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-campinas-88m2-venda-RS280000-id-2560167395/,Apartamento com 2 Quartos para Venda/Aluguel 88m²,"Avenida Andrade Neves, 290 - Centro, Campinas - SP",88,2 Quartos,1 Banheiro,-- Vaga,"Academia
Condomínio fechado
Portão eletrônico
Aceita animais","R$ 1.000 /mês
R$ 280.000",R$ 500,Campinas,2022-05-11 22:33
2560251864,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-prado-bairros-campinas-com-garagem-109m2-aluguel-RS3750-id-2560251864/,"Apartamento com 3 Quartos para Aluguel, 109m²","Avenida Maria Emília Alves dos Santos de Ângelis, 859 - Parque Prado, Campinas - SP",109,3 Quartos,3 Banheiros,2 Vagas,"Piscina
Elevador
Academia
Playground
Piscina para adulto",R$ 3.750 /mês,R$ 850,Campinas,2022-05-11 22:33
2542488620,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-bandeiras-bairros-campinas-com-garagem-55m2-aluguel-RS750-id-2542488620/,"Apartamento com 2 Quartos para Aluguel, 55m²","Rua Bernardino Martins Filho - Jardim das Bandeiras, Campinas - SP",55,2 Quartos,1 Banheiro,1 Vaga,"Condomínio fechado
Academia
Aceita animais
Jardim
Playground
...",R$ 750 /mês,R$ 480,Campinas,2022-05-11 22:33
