id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at,neighborhood
2561504055,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cambui-bairros-campinas-com-garagem-70m2-venda-RS910000-id-2561504055/,Apartamento com Quarto para Venda/Aluguel 70m²,"Rua Doutor Liráucio Gomes, 230 - Cambuí, Campinas - SP",70,1,1,1.0,"Piscina para adulto
Academia
Lavanderia
Piscina",3900,560.0,Campinas,2022-05-11 22:33, Cambuí
2557560579,https://www.vivareal.com.br/imovel/apartamento-3-quartos-loteamento-alphaville-campinas-bairros-campinas-com-garagem-113m2-aluguel-RS5500-id-2557560579/,"Apartamento com 3 Quartos para Aluguel, 113m²","Loteamento Alphaville Campinas, Campinas - SP",113,3,4,3.0,"Piscina
Mobiliado
Academia
Playground
Varanda gourmet
...",5500,1051.0,Campinas,2022-05-11 22:33, SP
2555708561,https://www.vivareal.com.br/imovel/apartamento-2-quartos-chacara-primavera-bairros-campinas-com-garagem-80m2-aluguel-RS3800-id-2555708561/,"Apartamento com 2 Quartos para Aluguel, 80m²","Rua Jasmim, 250 - Chácara Primavera, Campinas - SP",80,2,2,1.0,"Piscina
Mobiliado
Churrasqueira
Elevador
Varanda
...",3800,810.0,Campinas,2022-05-11 22:33, Chácara Primavera
2561849696,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-nova-europa-bairros-campinas-com-garagem-51m2-aluguel-RS1500-id-2561849696/,"Apartamento com 2 Quartos para Aluguel, 51m²","Rua Manoel Sylvestre de Freitas Filho, 1224 - Jardim Nova Europa, Campinas - SP",51,2,2,1.0,nan,1500,250.0,Campinas,2022-05-11 22:33, Jardim Nova Europa
2560703760,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-marieta-bairros-campinas-com-garagem-50m2-aluguel-RS1290-id-2560703760/,"Apartamento com 2 Quartos para Aluguel, 50m²","Avenida Washington Luís, 4400 - Vila Marieta, Campinas - SP",50,2,1,1.0,"Churrasqueira
Condomínio fechado
Espaço gourmet
Playground
Salão de festas
...",1290,213.0,Campinas,2022-05-11 22:33, Vila Marieta
2557313848,https://www.vivareal.com.br/imovel/apartamento-3-quartos-recanto-do-sol-i-bairros-campinas-com-garagem-49m2-aluguel-RS1200-id-2557313848/,"Apartamento com 3 Quartos para Aluguel, 49m²","Rua Professora Urana Gomes Barros, 390 - Recanto do Sol I, Campinas - SP",49,3,1,1.0,"Churrasqueira
Cozinha
Lavanderia
Quadra poliesportiva
Varanda",1200,0.0,Campinas,2022-05-11 22:33, Recanto do Sol I
2561037608,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-padre-manoel-de-nobrega-bairros-campinas-com-garagem-50m2-venda-RS149000-id-2561037608/,Apartamento com 2 Quartos à Venda/Aluguel 50m²,"Rua Ema - Vila Padre Manoel de Nóbrega, Campinas - SP",50,2,1,1.0,"Condomínio fechado
Aceita animais",850,200.0,Campinas,2022-05-11 22:33, Vila Padre Manoel de Nóbrega
2557808636,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cambui-bairros-campinas-com-garagem-50m2-aluguel-RS1500-id-2557808636/,"Apartamento com Quarto para Aluguel, 50m²","Cambuí, Campinas - SP",50,1,2,1.0,nan,1500,178.0,Campinas,2022-05-11 22:33, SP
2559408467,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-marcia-bairros-campinas-com-garagem-48m2-aluguel-RS1250-id-2559408467/,"Apartamento com 2 Quartos para Aluguel, 48m²","Rua Doutor Jeber Juabre, 145 - Jardim Márcia, Campinas - SP",48,2,2,1.0,"Playground
Churrasqueira
Academia",1250,396.0,Campinas,2022-05-11 22:33, Jardim Márcia
2560372092,https://www.vivareal.com.br/imovel/apartamento-2-quartos-mansoes-santo-antonio-bairros-campinas-com-garagem-57m2-aluguel-RS2600-id-2560372092/,"Apartamento com 2 Quartos para Aluguel, 57m²","Mansões Santo Antônio, Campinas - SP",57,2,2,2.0,"Playground
Varanda",2600,402.0,Campinas,2022-05-11 22:33, SP
